date       ,state  ,district ,pincode ,bio_age_5_17 ,bio_age_17_
01-03-2025 ,Orissa ,Puri     , 752110 ,          10 ,         44
01-04-2025 ,Orissa ,Puri     , 752104 ,          14 ,         35
01-03-2025 ,Orissa ,Puri     , 752014 ,          15 ,        105
01-04-2025 ,Orissa ,Puri     , 752110 ,          12 ,         17
01-06-2025 ,Orissa ,Puri     , 752111 ,          12 ,         10
17-09-2025 ,Orissa ,Puri     , 752108 ,           0 ,          2
30-10-2025 ,Orissa ,Puri     , 752116 ,           0 ,          2
29-10-2025 ,Orissa ,Puri     , 752107 ,           0 ,          1
31-10-2025 ,Orissa ,Puri     , 752110 ,           0 ,          1
02-11-2025 ,Orissa ,Puri     , 752109 ,           0 ,          1
19-10-2025 ,Orissa ,Puri     , 752014 ,           0 ,          7
19-10-2025 ,Orissa ,Puri     , 752045 ,           1 ,          0
19-10-2025 ,Orissa ,Puri     , 752108 ,           1 ,          0
26-10-2025 ,Orissa ,Puri     , 752011 ,           0 ,          1
26-10-2025 ,Orissa ,Puri     , 752016 ,           2 ,          1
26-10-2025 ,Orissa ,Puri     , 752046 ,           1 ,          2
26-10-2025 ,Orissa ,Puri     , 752100 ,           0 ,          1
26-10-2025 ,Orissa ,Puri     , 752121 ,           1 ,          0
07-11-2025 ,Orissa ,Puri     , 752060 ,           1 ,          0
08-11-2025 ,Orissa ,Puri     , 752100 ,           0 ,          2
09-11-2025 ,Orissa ,Puri     , 752046 ,           0 ,          1
12-11-2025 ,Orissa ,Puri     , 752045 ,           0 ,          2
12-11-2025 ,Orissa ,Puri     , 752116 ,           0 ,          2
16-11-2025 ,Orissa ,Puri     , 752106 ,           1 ,          0
02-12-2025 ,Orissa ,Puri     , 751002 ,           1 ,          0
04-12-2025 ,Orissa ,Puri     , 752046 ,           1 ,          1
08-12-2025 ,Orissa ,Puri     , 752113 ,           1 ,          0
19-11-2025 ,Orissa ,Puri     , 752013 ,           0 ,          1
19-11-2025 ,Orissa ,Puri     , 752104 ,           0 ,          1
19-11-2025 ,Orissa ,Puri     , 752107 ,           0 ,          1
15-12-2025 ,Orissa ,Puri     , 752045 ,           1 ,          0
25-12-2025 ,Orissa ,Puri     , 752014 ,           2 ,          3
25-12-2025 ,Orissa ,Puri     , 752045 ,           0 ,          1
27-12-2025 ,Orissa ,Puri     , 752106 ,           0 ,          2
29-12-2025 ,Orissa ,Puri     , 752111 ,           0 ,          3
01-01-2026 ,Orissa ,Puri     , 752104 ,           0 ,          2
23-12-2025 ,Orissa ,Puri     , 752050 ,           0 ,          1
22-12-2025 ,Orissa ,Puri     , 752109 ,           0 ,          1
13-12-2025 ,Orissa ,Puri     , 752046 ,           0 ,          2
13-12-2025 ,Orissa ,Puri     , 752105 ,           0 ,          1
15-12-2025 ,Orissa ,Puri     , 751002 ,           0 ,          1
15-12-2025 ,Orissa ,Puri     , 752108 ,           0 ,          1
14-12-2025 ,Orissa ,Puri     , 752002 ,           1 ,          2
26-12-2025 ,Orissa ,Puri     , 752108 ,           0 ,          1
26-12-2025 ,Orissa ,Puri     , 752113 ,           0 ,          1
25-12-2025 ,Orissa ,Puri     , 752016 ,           0 ,          1
17-12-2025 ,Orissa ,Puri     , 752012 ,           0 ,          1
18-12-2025 ,Orissa ,Puri     , 752113 ,           0 ,          1
16-12-2025 ,Orissa ,Puri     , 752106 ,           0 ,          5
30-11-2025 ,Orissa ,Puri     , 752045 ,           0 ,          3
24-11-2025 ,Orissa ,Puri     , 752002 ,           1 ,          1
19-11-2025 ,Orissa ,Puri     , 752113 ,           0 ,          1
22-11-2025 ,Orissa ,Puri     , 752107 ,           0 ,          1
25-11-2025 ,Orissa ,Puri     , 752116 ,           0 ,          2
10-12-2025 ,Orissa ,Puri     , 752046 ,           0 ,          3
10-12-2025 ,Orissa ,Puri     , 752108 ,           0 ,          2
10-12-2025 ,Orissa ,Puri     , 752110 ,           0 ,          1
28-11-2025 ,Orissa ,Puri     , 752106 ,           0 ,          3
27-11-2025 ,Orissa ,Puri     , 752016 ,           0 ,          2
07-12-2025 ,Orissa ,Puri     , 752014 ,           0 ,          2
08-12-2025 ,Orissa ,Puri     , 752015 ,           0 ,          1
08-12-2025 ,Orissa ,Puri     , 752016 ,           0 ,          6
08-12-2025 ,Orissa ,Puri     , 752108 ,           0 ,          1
08-12-2025 ,Orissa ,Puri     , 752111 ,           0 ,          3
01-12-2025 ,Orissa ,Puri     , 752109 ,           0 ,          1
29-11-2025 ,Orissa ,Puri     , 752015 ,           0 ,          1
07-11-2025 ,Orissa ,Puri     , 751002 ,           0 ,          1
07-11-2025 ,Orissa ,Puri     , 752016 ,           0 ,          2
07-11-2025 ,Orissa ,Puri     , 752106 ,           0 ,          2
07-11-2025 ,Orissa ,Puri     , 752107 ,           0 ,          1
10-11-2025 ,Orissa ,Puri     , 751002 ,           0 ,          1
08-11-2025 ,Orissa ,Puri     , 752016 ,           0 ,          2
04-11-2025 ,Orissa ,Puri     , 752015 ,           1 ,          0
04-11-2025 ,Orissa ,Puri     , 752046 ,           0 ,          1
05-11-2025 ,Orissa ,Puri     , 752014 ,           0 ,          1
06-11-2025 ,Orissa ,Puri     , 752108 ,           0 ,          1
28-10-2025 ,Orissa ,Puri     , 752046 ,           0 ,          1
09-10-2025 ,Orissa ,Puri     , 752050 ,           1 ,          0
09-10-2025 ,Orissa ,Puri     , 752105 ,           0 ,          2
11-10-2025 ,Orissa ,Puri     , 752014 ,           0 ,          3
11-10-2025 ,Orissa ,Puri     , 752109 ,           0 ,          1
11-10-2025 ,Orissa ,Puri     , 752118 ,           0 ,          1
17-10-2025 ,Orissa ,Puri     , 752002 ,           1 ,          3
17-10-2025 ,Orissa ,Puri     , 752045 ,           0 ,          1
07-10-2025 ,Orissa ,Puri     , 752108 ,           0 ,          1
07-10-2025 ,Orissa ,Puri     , 752113 ,           0 ,          1
29-09-2025 ,Orissa ,Puri     , 752111 ,           0 ,          3
02-10-2025 ,Orissa ,Puri     , 752002 ,           0 ,          1
28-09-2025 ,Orissa ,Puri     , 752016 ,           0 ,          2
28-09-2025 ,Orissa ,Puri     , 752114 ,           0 ,          1
28-09-2025 ,Orissa ,Puri     , 752119 ,           0 ,          2
