date,state,district,pincode,demo_age_5_17,demo_age_17_
17-10-2025,Orissa,Puri,752105,1,0
17-10-2025,Orissa,Puri,752110,0,1
17-10-2025,Orissa,Puri,752119,0,1
18-10-2025,Orissa,Puri,752002,0,2
18-10-2025,Orissa,Puri,752046,0,1
18-10-2025,Orissa,Puri,752110,0,1
27-10-2025,Orissa,Puri,752105,0,1
27-10-2025,Orissa,Puri,752106,0,3
26-10-2025,Orissa,Puri,752104,0,2
26-10-2025,Orissa,Puri,752106,0,7
26-10-2025,Orissa,Puri,752109,0,1
20-10-2025,Orissa,Puri,752014,0,2
24-10-2025,Orissa,Puri,752015,0,2
24-10-2025,Orissa,Puri,752110,0,6
28-10-2025,Orissa,Puri,752016,0,4
04-11-2025,Orissa,Puri,752050,0,1
05-11-2025,Orissa,Puri,752016,0,1
06-11-2025,Orissa,Puri,752104,0,1
07-11-2025,Orissa,Puri,752045,0,1
14-11-2025,Orissa,Puri,752105,0,1
02-12-2025,Orissa,Puri,752116,0,1
05-12-2025,Orissa,Puri,752114,0,1
07-12-2025,Orissa,Puri,752046,0,1
02-09-2025,Orissa,Puri,752105,0,1
02-09-2025,Orissa,Puri,752106,0,10
02-09-2025,Orissa,Puri,752109,0,3
02-09-2025,Orissa,Puri,752111,0,3
02-09-2025,Orissa,Puri,752118,0,1
01-09-2025,Orissa,Puri,752011,0,2
01-09-2025,Orissa,Puri,752045,0,1
01-09-2025,Orissa,Puri,752109,0,5
01-09-2025,Orissa,Puri,752111,0,2
01-09-2025,Orissa,Puri,752114,0,4
04-09-2025,Orissa,Puri,752014,0,9
04-09-2025,Orissa,Puri,752104,0,3
04-09-2025,Orissa,Puri,752109,0,3
04-09-2025,Orissa,Puri,752111,0,3
03-09-2025,Orissa,Puri,752014,0,3
03-09-2025,Orissa,Puri,752015,0,2
05-09-2025,Orissa,Puri,752045,0,2
06-09-2025,Orissa,Puri,752108,0,2
08-09-2025,Orissa,Puri,752016,0,3
08-09-2025,Orissa,Puri,752045,0,1
08-09-2025,Orissa,Puri,752105,0,2
08-09-2025,Orissa,Puri,752108,0,3
08-09-2025,Orissa,Puri,752110,1,4
08-09-2025,Orissa,Puri,752111,1,1
08-09-2025,Orissa,Puri,752114,0,1
11-09-2025,Orissa,Puri,752014,0,6
11-09-2025,Orissa,Puri,752016,0,1
11-09-2025,Orissa,Puri,752105,0,2
11-09-2025,Orissa,Puri,754004,0,1
13-09-2025,Orissa,Puri,752109,0,3
12-09-2025,Orissa,Puri,752015,0,1
12-09-2025,Orissa,Puri,752046,0,1
12-09-2025,Orissa,Puri,752113,0,3
12-09-2025,Orissa,Puri,752114,2,4
15-09-2025,Orissa,Puri,752045,0,1
15-09-2025,Orissa,Puri,752114,0,1
17-09-2025,Orissa,Puri,752045,0,1
16-09-2025,Orissa,Puri,752017,0,1
16-09-2025,Orissa,Puri,752116,0,2
18-09-2025,Orissa,Puri,752002,0,3
18-09-2025,Orissa,Puri,752045,0,1
18-09-2025,Orissa,Puri,752106,0,4
20-09-2025,Orissa,Puri,752114,0,3
19-09-2025,Orissa,Puri,751002,0,1
19-09-2025,Orissa,Puri,752002,0,3
19-09-2025,Orissa,Puri,752016,1,5
19-09-2025,Orissa,Puri,752105,0,2
13-10-2025,Orissa,Puri,752014,0,2
16-10-2025,Orissa,Puri,752121,0,1
15-10-2025,Orissa,Puri,752002,0,4
12-12-2025,Orissa,Puri,752014,2,4
12-12-2025,Orissa,Puri,752016,0,3
12-12-2025,Orissa,Puri,752105,0,1
12-12-2025,Orissa,Puri,752106,0,4
11-12-2025,Orissa,Puri,752013,0,1
11-12-2025,Orissa,Puri,752014,1,10
11-12-2025,Orissa,Puri,752116,0,1
05-12-2025,Orissa,Puri,752002,0,3
05-12-2025,Orissa,Puri,752045,0,2
05-12-2025,Orissa,Puri,752105,0,1
05-12-2025,Orissa,Puri,752119,0,1
04-12-2025,Orissa,Puri,751002,0,1
04-12-2025,Orissa,Puri,752107,0,1
04-12-2025,Orissa,Puri,752110,0,2
06-12-2025,Orissa,Puri,752046,1,0
06-12-2025,Orissa,Puri,752106,0,3
06-12-2025,Orissa,Puri,752107,0,1
03-12-2025,Orissa,Puri,752046,0,2
07-12-2025,Orissa,Puri,752105,0,1
04-11-2025,Orissa,Puri,752014,1,6
04-11-2025,Orissa,Puri,752104,0,1
04-11-2025,Orissa,Puri,752106,0,2
04-11-2025,Orissa,Puri,752116,0,1
05-11-2025,Orissa,Puri,752104,0,1
05-11-2025,Orissa,Puri,752106,0,1
06-11-2025,Orissa,Puri,752014,0,5
06-11-2025,Orissa,Puri,752016,0,1
06-11-2025,Orissa,Puri,752105,0,3
06-11-2025,Orissa,Puri,752109,0,1
22-12-2025,Orissa,Puri,752111,0,1
02-01-2026,Orissa,Puri,752014,2,3
02-01-2026,Orissa,Puri,752016,0,1
01-01-2026,Orissa,Puri,752002,0,2
25-12-2025,Orissa,Puri,752046,0,1
28-12-2025,Orissa,Puri,752011,0,3
28-12-2025,Orissa,Puri,752106,0,1
28-12-2025,Orissa,Puri,752111,0,1
03-01-2026,Orissa,Puri,752014,1,1
03-01-2026,Orissa,Puri,752108,0,1
03-01-2026,Orissa,Puri,752109,0,1
23-12-2025,Orissa,Puri,752014,1,7
23-12-2025,Orissa,Puri,752045,0,4
23-12-2025,Orissa,Puri,752046,0,3
23-12-2025,Orissa,Puri,752114,1,1
25-12-2025,Orissa,Puri,752002,0,1
24-12-2025,Orissa,Puri,752002,0,1
24-12-2025,Orissa,Puri,752014,1,11
24-12-2025,Orissa,Puri,752016,0,1
26-12-2025,Orissa,Puri,752015,0,1
27-12-2025,Orissa,Puri,752002,0,2
27-12-2025,Orissa,Puri,752105,0,1
27-12-2025,Orissa,Puri,752110,0,1
10-12-2025,Orissa,Puri,752113,0,1
27-11-2025,Orissa,Puri,752060,0,1
18-12-2025,Orissa,Puri,752045,0,2
18-12-2025,Orissa,Puri,752120,0,1
19-12-2025,Orissa,Puri,752045,0,1
19-12-2025,Orissa,Puri,752106,0,4
19-12-2025,Orissa,Puri,752109,0,2
20-12-2025,Orissa,Puri,752014,0,2
22-12-2025,Orissa,Puri,752110,0,1
22-12-2025,Orissa,Puri,752114,0,1
13-12-2025,Orissa,Puri,752002,0,2
13-12-2025,Orissa,Puri,752014,0,4
13-12-2025,Orissa,Puri,752107,0,1
16-12-2025,Orissa,Puri,752011,0,1
16-12-2025,Orissa,Puri,752014,0,2
16-12-2025,Orissa,Puri,752046,0,4
08-12-2025,Orissa,Puri,752002,0,3
08-12-2025,Orissa,Puri,752014,1,10
08-12-2025,Orissa,Puri,752104,0,1
10-12-2025,Orissa,Puri,752014,0,6
10-12-2025,Orissa,Puri,752106,0,3
10-12-2025,Orissa,Puri,752111,0,1
09-11-2025,Orissa,Puri,752106,0,1
16-11-2025,Orissa,Puri,752108,0,1
16-11-2025,Orissa,Puri,752118,1,0
15-11-2025,Orissa,Puri,752045,0,1
15-11-2025,Orissa,Puri,752108,0,1
18-11-2025,Orissa,Puri,752002,0,7
18-11-2025,Orissa,Puri,752100,0,1
18-11-2025,Orissa,Puri,752107,0,1
18-11-2025,Orissa,Puri,752109,0,2
19-11-2025,Orissa,Puri,752108,1,0
07-11-2025,Orissa,Puri,752015,0,1
07-11-2025,Orissa,Puri,752111,0,1
08-11-2025,Orissa,Puri,752002,2,1
08-11-2025,Orissa,Puri,752110,0,1
14-11-2025,Orissa,Puri,752109,0,3
14-11-2025,Orissa,Puri,752116,0,1
13-11-2025,Orissa,Puri,752105,0,3
13-11-2025,Orissa,Puri,752110,0,1
13-11-2025,Orissa,Puri,752114,0,1
20-11-2025,Orissa,Puri,752014,1,3
11-11-2025,Orissa,Puri,752016,0,2
12-11-2025,Orissa,Puri,752113,0,1
17-11-2025,Orissa,Puri,752104,0,1
17-11-2025,Orissa,Puri,752107,0,1
17-11-2025,Orissa,Puri,752109,0,1
03-11-2025,Orissa,Puri,752002,0,4
03-11-2025,Orissa,Puri,752110,0,2
03-11-2025,Orissa,Puri,752119,0,1
31-10-2025,Orissa,Puri,752109,0,1
25-11-2025,Orissa,Puri,752110,0,2
24-11-2025,Orissa,Puri,752108,0,1
01-11-2025,Orissa,Puri,752014,1,3
02-11-2025,Orissa,Puri,752002,0,2
30-10-2025,Orissa,Puri,752014,2,4
29-10-2025,Orissa,Puri,752002,0,2
29-10-2025,Orissa,Puri,752014,1,4
29-10-2025,Orissa,Puri,752016,0,5
29-10-2025,Orissa,Puri,752105,0,1
29-10-2025,Orissa,Puri,752111,0,1
23-11-2025,Orissa,Puri,752014,0,1
26-11-2025,Orissa,Puri,752002,0,1
26-11-2025,Orissa,Puri,752014,0,2
